;Nama Produk;Harga;URL Gambar;Link Produk;;
1;Canola Fuchsia;Rp. 202.500;https://hijab.id/tm_images/produk/thumb/ba17a73fcc67f0a9.jpg;https://hijab.id/detail-produk/canola-fuchsia-774-1.php;;NEW ARIVAL
2;Gravel Lavender;Rp. 202.500;https://hijab.id/tm_images/produk/thumb/e89257abc81d4522.jpg;https://hijab.id/detail-produk/gravel-lavender-860-1.php;;
3;Polka Choco;Rp. 225.000;https://hijab.id/tm_images/produk/thumb/9628d6514cc234bb.jpg;https://hijab.id/detail-produk/polka-choco-869-1.php;;
4;Gravel Cream;Rp. 202.500;https://hijab.id/tm_images/produk/thumb/de46fc065206af49.jpg;https://hijab.id/detail-produk/gravel-cream-865-1.php;;
5;Gravel Pink;Rp. 202.500;https://hijab.id/tm_images/produk/thumb/99ee2b23751c5fbe.jpg;https://hijab.id/detail-produk/gravel-pink-864-1.php;;
6;Gravel Mint;Rp. 202.500;https://hijab.id/tm_images/produk/thumb/92f909ec201b8e05.jpg;https://hijab.id/detail-produk/gravel-mint-862-1.php;;
7;Gravel Peach;Rp. 202.500;https://hijab.id/tm_images/produk/thumb/0b0a4c4c6caf4e11.jpg;https://hijab.id/detail-produk/gravel-peach-861-1.php;;
8;Canola Green;Rp. 202.500;https://hijab.id/tm_images/produk/thumb/b06ce3583bd58212.jpg;https://hijab.id/detail-produk/canola-green-776-1.php;;
9;Japan Olive;Rp. 225.000;https://hijab.id/tm_images/produk/thumb/4846737f826c768b.jpg;https://hijab.id/detail-produk/japan-olive-796-1.php;;
10;Polka Candy Mint;Rp. 225.000;https://hijab.id/tm_images/produk/thumb/a5bb0628506423fa.jpg;https://hijab.id/detail-produk/polka-candy-mint-870-1.php;;
11;Zyva Top Tosca;Rp. 288.990;https://hijab.id/tm_images/produk/thumb/e9dd889c376fbcb7.jpg;https://hijab.id/detail-produk/zyva-top-tosca-734-1.php;;
12;Polka Candy Sage;Rp. 225.000;https://hijab.id/tm_images/produk/thumb/9df7dd21c75ff29f.jpg;https://hijab.id/detail-produk/polka-candy-sage-872-1.php;;
13;Blue Mosque;Rp. 225.000;https://hijab.id/tm_images/produk/thumb/9159c099db143e81.jpg;https://hijab.id/detail-produk/blue-mosque-680-1.php;;BEST SELER
14;Hannah Hijab Instant Mammadis x hijab.id Lemon;Rp. 195.000;https://hijab.id/tm_images/produk/thumb/c2a6e0c1b7f010f1.jpg;https://hijab.id/detail-produk/hannah-hijab-instant-mammadis-x-hijabid-lemon-699-1.php;;
15;Voal plain Olive;Rp. 85.500;https://hijab.id/tm_images/produk/thumb/cc8fdb17835b8fe3.jpg;https://hijab.id/detail-produk/voal-plain-olive-829-1.php;;
